date;avtor;title;link;img;text
2022-10-29, 15:42;AnnieBronson;Биткоин-майнер Core Scientific предупредил о вероятном банкротстве;https://habr.com/ru/news/t/696216/;https://habrastorage.org/r/w780q1/getpro/habr/upload_files/4be/d42/448/4bed424483dbbdee99a24fc8336faa9e.jpg;Криптовалютная фирма и провайдер блокчейн-хостинга Core Scientific предупредила, что конца года может полностью исчерпать свои финансовые резервы и обанкротиться. Соответствующую информацию компания включила в отчёт для Комиссии по ценным бумагам и биржам США (SEC). Проблемы с ликвидностью у Core Scientific возникли из-за падения стоимости биткоина, роста цен на электроэнергию и возросшей конкуренции на рынке. Свою роль сыграл также судебный спор с криптовалютной платформой Celsius Network, говорится в отчёте компании.У Celsius Network, инициировавшей банкротство ранее в этом году, есть непогашенные долги перед Core Scientific в размере $5,4 млн. Задолженность, связанная с неоплаченными услугами за хостинг оборудования, значительно ухудшила финансовое положение Core Scientific. Компания намерена пропустить платёж по долгу, который ей необходимо сделать в ближайшие дни, и привлекла Weil, Gotshal & Manges LLP и PJT Partners в качестве юридических и финансовых консультантов.По данным на 27 октября, на балансе компании было 24 биткоина и $26,6 млн. Для сравнения, в сентябре резервы составляли 1,051 тыс. биткоинов и $29,5 млн. Акции Core Scientific рухнули на 73% на торгах в четверг. С начала года их стоимость упала более чем на 97%.
2022-10-29, 15:20;AnnieBronson;Apple сообщила о рекордной выручке в четвёртом квартале в размере $90,1 млрд;https://habr.com/ru/news/t/696214/;https://habrastorage.org/r/w780q1/getpro/habr/upload_files/69e/684/f9e/69e684f9eaefebda5d36c113dc394d64.jpg;Apple сообщила о доходах за четвёртый квартал 2022 финансового года, завершившийся 24 сентября. Результаты компании превзошли ожидания аналитиков Уолл-стрит: доход Apple достиг $90,15 млрд, что на 8,1% больше по сравнению с прошлым годом. Большую часть этой суммы составил доход от iPhone, достигший $42,63 млрд против прогноза в $43,21 млрд долларов, рост на 9,67% по сравнению с прошлым годом. Доход от Mac составил $11,51 против прогнозов в $9,36 млрд, увеличившись на 25,39%, несмотря на проблемы в цепочках поставок, замедлившие продажи ноутбуков и настольных компьютеров после двух лет бума во время пандемии. Доход от прочих продуктов, куда входят смарт-часы и наушники, составил $9,65 млрд против прогнозируемых $9,17 млрд. Некоторые аналитики полагали, что носимые устройства Apple, скорее всего, пострадают, если страхи покупателей перед рецессией замедлят расходы, однако этот бизнес вырос почти на 10% в годовом исчислении. Ниже прогнозов аналитиков оказались доходы от продаж iPad: $7,17 млрд против $7,94 млрд. Услуги и подписки также принесли компании меньше ожидаемого: $19,19 млрд против $20,10 млрд. Apple не предоставила официальных прогнозов на следующий квартал, который закончится в декабре. Компания отказывается от прогнозов с 2020 года, ссылаясь на неопределённость на рынках, однако финансовый директор Apple Лука Маэстри заявил, что общий годовой доход вырастет в декабре менее чем на 8,1% по сравнению с сентябрьским кварталом, а продажи Mac снизятся в годовом исчислении. Он также полагает, что доход от услуг вырастет по сравнению с прошлым годом в течение квартала «в силу макроэкономических факторов».«Мы продолжаем инвестировать в долгосрочные программы и вернули нашим акционерам более $29 млрд в течение квартала. Этот квартал стал ещё одним рекордом для Apple: выручка выросла более чем на $28 млрд, а операционный денежный поток — на $18 млрд по сравнению с прошлым годом», — заявил Маэстри.Совет директоров Apple объявил денежный дивиденд в размере $0,23 на акцию. Дивиденды подлежат выплате 10 ноября 2022 года.
2022-10-29, 14:46;Travis_Macrif;Суд обязал Ford выплатить разработчику ПО почти $105 млн по делу о коммерческой тайне;https://habr.com/ru/news/t/696212/;https://habrastorage.org/r/w780q1/webt/ex/m6/5x/exm65xdpoeuqbe1adugmr-f0x1o.jpeg;Федеральное жюри Детройта обязало американский автомобильный концерн Ford выплатить компенсацию в размере $104,6 млн компании-разработчику Versata в качестве компенсации за нарушение лицензионного договора от 2004 года и незаконное присвоение коммерческой тайны.Жюри совещалось более двух дней, прежде чем привлечь Ford к ответственности. Судебное разбирательство продолжалось в течение 15 дней.Базирующаяся в Техасе Versata сообщила, что с 1998 по 2015 годы она предоставляла Ford лицензию на автомобильное ПО, которое помогает инженерам и рекламным агентам концерна работать над автомобилями с «бесшовными обновлениями в реальном времени» по всему миру.Разработчик указал, что Ford начал копировать ПО Versata, а в 2014 году отклонил предложение компании о лицензировании основного софта Versata за $17 млн в год.Жюри присудило $82,2 млн за нарушение договора, а $22,4 млн — за незаконное присвоение коммерческой тайны. В Ford не согласились с вердиктом и пообещали обжаловать его.Versata присудили 85% от того, что она требовала, заявил юрист компании и партнёр Winston & Strawn Дэн Уэбб. По его словам, судебный процесс завершился наиболее благоприятно для истцов.Разбирательство стартовало в 2015 году, когда Ford потребовал судебное решение о том, что его действия нарушают права на интеллектуальную собственность Versata.
2022-10-29, 12:43;maybe_elf;Тим Кук объяснил подорожание сервисов Apple;https://habr.com/ru/news/t/696206/;https://habrastorage.org/r/w780q1/getpro/habr/upload_files/937/3da/1bf/9373da1bf11715bfd2acf50e7d78f9f8.jpg;Глава Apple Тим Кук в ходе объявления финансовых результатов за четвёртый квартал 2022 года объяснил, почему подорожали подписки на сервисы Apple.По его словам, это связано не с работой сервисов с технической точки зрения, а с ростом стоимости лицензирования музыки Apple Music.При этом подписка Apple TV+ подорожала, потому что увеличилось количество сериалов и фильмов, и Apple считает этот продукт более ценным.«Мы были на старте, сосредоточились только на своих проектах, у нас было 4-5 сериала вначале и цены были довольно низкими. Теперь у нас намного больше контента, и каждый месяц мы получаем больше, и мы увеличили цену, чтобы отразить ценность услуги», — пояснил Кук.Глава компании отметил, что цена на Apple One выросла, поскольку подписка включает и Apple Music, и Apple TV+.Выручка Apple за квартал составила $90,1 млрд, а чистая прибыль — $20,7 млрд.Валовая прибыль за квартал достигла 42,3% по сравнению с 42,2% в четвёртом квартале прошлого года.За весь финансовый год Apple зафиксировала новые рекорды с объёмом продаж $394,3 млрд и чистой прибылью в размере $99,8 млрд.Ранее Apple впервые подняла стоимость подписки на Apple TV+. Индивидуальный план подорожал с $4,99 до $6,99, а годовой — с $49 до $69. Стоимость подписок на Apple Music и Apple One также выросла.
2022-10-29, 12:09;maybe_elf;Geely запатентовала систему климат-контроля с распознаванием одежды пассажиров;https://habr.com/ru/news/t/696202/;https://habrastorage.org/r/w780q1/getpro/habr/upload_files/4c5/b95/71b/4c5b9571be771592b8a7562d7a38cee3.jpg;Китайская Geely получила патент на систему климат-контроля автомобиля, которая сможет регулировать температуру в салоне в зависимости от одежды пассажиров.Система включает датчик в салоне, который фиксирует присутствие водителя или пассажира, а также камеру, которая определяет, во что они одеты.В патентной документации говорится, что система способна в зависимости от количества вещей высчитать показатель отклонения от нормы и изменить температуру в салоне. Также она может отслеживать состояние пассажиров в реальном времени и менять настройки климатической системы.Однако непонятно, как будет реагировать система, если все пассажиры будут одеты по-разному. Geely пока не объявила, когда она собирается внедрить новый климат-контроль.Это уже не первый подобный патент от китайского автопроизводителя. Ранее Geely подавала заявку на технологию, которая позволит общаться с людьми снаружи автомобиля через стекло. Она включает в себя микрофон и динамик.В этом месяце Geely также показала новую версию электрического автомобиля Zeekr 001 с запасом хода до 1 тыс. км. Полноприводная комплектация разгоняется до 100 км/ч за 3,8 секунды.
2022-10-29, 11:50;maybe_elf;Arm запретит сторонние модули в чипах при наличии своих аналогов и введёт роялти;https://habr.com/ru/news/t/696198/;https://habrastorage.org/r/w780q1/getpro/habr/upload_files/32c/1e9/2f0/32c1e92f090d1b3f780ca7d951e84d22.jpg;В ходе судебного разбирательства с американской Qualcomm британская Arm решила изменить свою бизнес-модель. Теперь лицензионные сборы будут платить производители конечных устройств, в том числе смартфонов и планшетов. Разработчик также запретит в чипах с Arm-процессорами сторонние компоненты при наличии своих аналогов, включая GPU, NPU и ISP.Ранее Arm подала в суд на Qualcomm после того, как та купила разработчика серверных процессоров Nuvia. Британская компания считает, что после этой сделки все прежние договорённости нужно считать недействительными, так как Nuvia разработала проекты микросхем с использованием лицензий Arm, и они не могут быть переданы Qualcomm без разрешения.Qualcomm подала встречный иск.В нём говорится, что после 2024 года Arm перестанет лицензировать архитектуру своих процессоров производителям полупроводниковых компонентов. С этого момента платить должны будут производители конечных устройств. Как отмечает Qualcomm, Arm уже сообщила OEM-производителям, что вскоре им придётся платить прямые лицензионные отчисления.Также британская компания решила ужесточить также свою политику в отношении разработчиков чипов, в том числе и Qualcomm. Они больше не смогут использовать в однокристальных платформах с Arm-процессорами сторонние компоненты, если Arm предлагает их аналоги в качестве лицензируемого продукта. Это коснётся графических и сетевых процессоров, а также процессоров обработки изображений. Данное нововведение затронет партнёрства Samsung и AMD, а также MediaTek и Imagination.Однако новые правила коснутся не всех. У Nvidia есть 20-летняя лицензия на разработку компонентов с Arm-архитектурой, а Apple стояла у истоков Arm. Кроме того, нововведения не затронут сотрудничество Arm с Broadcom. В мае Qualcomm подтвердила, что хотела бы получить долю в Arm и помочь создать консорциум, который позволит удержать британского разработчика чипов в нейтральном положении. Однако владелец Arm SoftBank планирует сохранить контрольный пакет акций производителя после IPO. Его намерены провести в течение финансового года, который закончится 31 марта 2023 года.  
2022-10-29, 10:25;denis-19;Крупные рекламодатели приостановили работу с Twitter, Маск объяснил, что существенных изменений на платформе не будет;https://habr.com/ru/news/t/696196/;https://habrastorage.org/r/w780q1/webt/nx/bb/bb/nxbbbb5cmjykam0gjfrz7qemj5u.jpeg;
2022-10-29, 09:24;denis-19;НАСА перенесла запуск зонда «Психея» к одноименному астероиду на 2023 год из-за необходимости доработки и проверки ПО;https://habr.com/ru/news/t/696190/;https://habrastorage.org/r/w780q1/getpro/habr/post_images/dba/d90/351/dbad90351e3606169576090b60b6ec72.jpg;
2022-10-28, 22:52;denis-19;Обсерватория солнечной динамики НАСА сделала фото улыбки на Солнце из корональных дыр;https://habr.com/ru/news/t/696182/;https://habrastorage.org/r/w780q1/webt/hg/xf/ob/hgxfobs0vzqdoxbfyppdpxy2vlq.jpeg;
2022-10-28, 21:00;denis-19;Twitter начал процедуру делистинга и станет частной компанией, совет директоров будет распущен;https://habr.com/ru/news/t/696176/;https://habrastorage.org/r/w780q1/webt/yv/cw/6y/yvcw6ypwbhb0rgx4fes2mro3b8e.jpeg;
